Job Title;Company Name;Job City;Job Rating;Job Post Date
Data Scientist, Auction & Delivery;Facebook;Menlo Park;4.2;30+
Data Scientist, Analytics - Community Integrity;Facebook;Menlo Park;4.2;30+
AI/ML Engineer - Knowledge Graph;GSK;San Francisco;4.2;3
Senior Data Scientist;IHS Markit;San Francisco;3.6;30+
Data Scientist;Lawrence Livermore National Laboratory;Livermore;4.2;30+
Data Scientist, Analytics - Messenger Ranking;Facebook;Menlo Park;4.2;30+
Data Scientist;Apple;Santa Clara Valley;4.2;30+
People Analytics Data Scientist - (B2);Applied Materials Inc.;Santa Clara;3.9;19
Data Scientist 1;eBay Inc.;San Jose;3.9;8
Data Scientist, Auction & Delivery Intern;Facebook;Menlo Park;4.2;30+
Decision Scientist, Next-Gen Risk;PayPal;San Jose;3.9;Today
Software Engineer (Data Scientist/Software Engineer) - SISW...;Siemens;Fremont;4.0;30+
Sr. Manager, Data Scientist;Charles Schwab Inc.;San Francisco;4.0;15
Senior Data Scientist;Gap Inc.;San Francisco;3.8;30+
Data Scientist, Operations Research;Facebook;Fremont;4.2;30+
Data Scientist, Global Supply Chain;Danaher;Sunnyvale;3.6;30+
Senior Data Scientist;Sensor Tower;San Francisco;None;30+
Data Science & Analytics Leader;Netflix;Los Gatos;3.9;17
Staff Data Scientist - Business Analytics;Intuit;Mountain View;4.2;1
Senior Data Scientist;IHS Markit;San Francisco;3.6;30+
Data Scientist;Lawrence Livermore National Laboratory;Livermore;4.2;30+
Data Scientist, CoreApp;Facebook;Menlo Park;4.2;30+
Senior Data Scientist;Earnest;San Francisco;4.0;30+
Data Integrity Analyst (Data Scientist);Apple;Santa Clara Valley;4.2;30+
Data Science - New College Graduate;Wealthfront;Palo Alto;None;30+
Machine Learning Engineer;Casetext;San Francisco;None;30+
Senior Data Scientist- Health;Apple;Santa Clara Valley;4.2;30+
Data Scientist (Machine Learning);Apple;Santa Clara Valley;4.2;30+
Data Science, Intern (Record Linking);Ancestry;San Francisco;3.9;30+
ML/Data Science Intern (Summer 2020);Splunk;San Francisco;4.1;30+
Data Scientist - Batteries;Apple;Santa Clara Valley;4.2;30+
Senior Data Scientist, Conversations;Twitter;San Francisco;4.1;30+
Applied Machine Learning engineer - Explore and Events Disco...;Twitter;San Francisco;4.1;30+
Data Scientist;CSAA Insurance Group;Walnut Creek;3.3;30+
Data Scientist, Analytics - Ads Ranking;Facebook;Menlo Park;4.2;30+
Manager, Data Science;Uber;San Francisco;3.8;30+
NLP Data Science Intern;eHealth;Santa Clara;3.6;1
Staff Data Scientist (GEC11903);Walmart eCommerce;Sunnyvale;3.4;30+
Senior Data Scientist, Partnerships;Atlassian;Mountain View;4.5;23
Data Scientist;Canopy Health;Emeryville;None;30+
Sr. Data Scientist - Knowledge;Branch;Redwood City;5.0;30+
Principal Applied Scientist - Machine Learning;Splunk;San Francisco;4.1;30+
Senior Data Scientist - Authorship;Turnitin, LLC;Oakland;None;30+
Data Scientist, Analytics - Video Integrity;Facebook;Menlo Park;4.2;30+
Machine Learning Specialist;Aurora Tech;San Francisco;None;30+
2020 Summer Data Science Intern;Atlassian;Mountain View;4.5;19
Data Scientist;Oracle;Redwood City;3.8;30+
Senior Data Analyst;Formation;San Francisco;None;30+
Senior Data Scientist;Quantcast;San Francisco;3.4;30+
Staff Data Scientist;Walmart;San Bruno;3.5;30+
Lead Data Scientist - Analyst;Sony Corporation of America;San Jose;4.1;1
Senior Applied Scientist - Recommendations;Twitch Interactive, Inc.;San Francisco;3.6;30+
Data Scientist / Senior Data Scientist, Human Genetics;Maze Therapeutics;South San Francisco;None;13
Senior Data Scientist;Formation;San Francisco;None;30+
Machine Learning Scientist - Natural Language Processing;SoundHound Inc.;San Francisco;None;30+
Data Scientist;Adobe;San Jose;4.3;30+
Data Scientist, Auction & Delivery;Facebook;Menlo Park;4.2;30+
